STT,Dạng,Nguồn,STT câu gốc,Loại số,Đề bài,Đáp án đúng,Lời giải,Nhận xét,Ghi chú kiểm tra
161,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,2,Số vô tỉ,"Cho hai số phức $z_1 = - 2 \sqrt{2}+\sqrt{10}i$ và $z_2 = \sqrt{7}+3 \sqrt{7}i$. Tính môđun của số phức $z_1+z_2$.

A. $|z_1+z_2| = \sqrt{\left(- 2 \sqrt{2} + \sqrt{7}\right)^{2} + \left(\sqrt{10} + 3 \sqrt{7}\right)^{2}}$.
B. $|z_1+z_2| = \left(- 2 \sqrt{2} + \sqrt{7}\right)^{2} + \left(\sqrt{10} + 3 \sqrt{7}\right)^{2}$.
C. $|z_1+z_2| = \sqrt{\left(- 3 \sqrt{7} + \sqrt{10}\right)^{2} + \left(- 2 \sqrt{2} - \sqrt{7}\right)^{2}}$.
D. $|z_1+z_2| = 3 \sqrt{2} + \sqrt{70}$.",A. $|z_1+z_2| = \sqrt{\left(- 2 \sqrt{2} + \sqrt{7}\right)^{2} + \left(\sqrt{10} + 3 \sqrt{7}\right)^{2}}$.,Ta có $z_1+z_2 = \left(- 2 \sqrt{2} + \sqrt{7}\right)+\left(\sqrt{10} + 3 \sqrt{7}\right)i \Rightarrow |z_1+z_2| = \sqrt{\left(- 2 \sqrt{2} + \sqrt{7}\right)^2+\left(\sqrt{10} + 3 \sqrt{7}\right)^2} = \sqrt{\left(- 2 \sqrt{2} + \sqrt{7}\right)^{2} + \left(\sqrt{10} + 3 \sqrt{7}\right)^{2}}$.,Đạt,
162,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,2,Số vô tỉ,"Cho hai số phức $z_1 = - 2 \sqrt{5}-2 \sqrt{10}i$ và $z_2 = 2 \sqrt{10}+2 \sqrt{6}i$. Tính môđun của số phức $z_1+z_2$.

A. $|z_1+z_2| = \sqrt{\left(- 2 \sqrt{10} + 2 \sqrt{6}\right)^{2} + \left(- 2 \sqrt{5} + 2 \sqrt{10}\right)^{2}}$.
B. $|z_1+z_2| = \left(- 2 \sqrt{10} + 2 \sqrt{6}\right)^{2} + \left(- 2 \sqrt{5} + 2 \sqrt{10}\right)^{2}$.
C. $|z_1+z_2| = \sqrt{\left(- 2 \sqrt{10} - 2 \sqrt{5}\right)^{2} + \left(- 2 \sqrt{10} - 2 \sqrt{6}\right)^{2}}$.
D. $|z_1+z_2| = 2 \sqrt{15} + 8$.",A. $|z_1+z_2| = \sqrt{\left(- 2 \sqrt{10} + 2 \sqrt{6}\right)^{2} + \left(- 2 \sqrt{5} + 2 \sqrt{10}\right)^{2}}$.,Ta có $z_1+z_2 = \left(- 2 \sqrt{5} + 2 \sqrt{10}\right)-\left(- 2 \sqrt{6} + 2 \sqrt{10}\right)i \Rightarrow |z_1+z_2| = \sqrt{\left(- 2 \sqrt{5} + 2 \sqrt{10}\right)^2+\left(- 2 \sqrt{10} + 2 \sqrt{6}\right)^2} = \sqrt{\left(- 2 \sqrt{10} + 2 \sqrt{6}\right)^{2} + \left(- 2 \sqrt{5} + 2 \sqrt{10}\right)^{2}}$.,Đạt,
163,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,50,Số nguyên,"Cho hai số phức $z=3+7i$ và $w=2+6i$. Môđun của số phức $z\cdot\overline{w}$ bằng

A. $2320$.
B. $2288$.
C. $4 \sqrt{143}$.
D. $4 \sqrt{145}$.",D. $4 \sqrt{145}$.,"Ta có $z\cdot\overline{w}=(3+7i)(2-6i)=48-4i$.
Vậy $|z\cdot\overline{w}|=|48-4i|=4 \sqrt{145}$.",Đạt,
164,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,50,Số nguyên,"Cho hai số phức $z=-7+i$ và $w=1-i$. Môđun của số phức $z\cdot\overline{w}$ bằng

A. $100$.
B. $28$.
C. $2 \sqrt{7}$.
D. $10$.",D. $10$.,"Ta có $z\cdot\overline{w}=(-7+i)(1+i)=-8-6i$.
Vậy $|z\cdot\overline{w}|=|-8-6i|=10$.",Đạt,
165,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,50,Số hữu tỉ,"Cho hai số phức $z=\dfrac{5}{3}-\dfrac{11}{3}i$ và $w=- \dfrac{5}{2}+\dfrac{7}{4}i$. Môđun của số phức $z\cdot\overline{w}$ bằng

A. $\dfrac{10877}{72}$.
B. $\dfrac{1313}{18}$.
C. $\dfrac{\sqrt{2626}}{6}$.
D. $\dfrac{\sqrt{21754}}{12}$.",D. $\dfrac{\sqrt{21754}}{12}$.,"Ta có $z\cdot\overline{w}=(\dfrac{5}{3}-\dfrac{11}{3}i)(- \dfrac{5}{2}-\dfrac{7}{4}i)=- \dfrac{127}{12}+\dfrac{25}{4}i$.
Vậy $|z\cdot\overline{w}|=|- \dfrac{127}{12}+\dfrac{25}{4}i|=\dfrac{\sqrt{21754}}{12}$.",Đạt,
166,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,50,Số hữu tỉ,"Cho hai số phức $z=- \dfrac{6}{5}+\dfrac{9}{5}i$ và $w=\dfrac{7}{3}-\dfrac{11}{2}i$. Môđun của số phức $z\cdot\overline{w}$ bằng

A. $\dfrac{3341}{20}$.
B. $\dfrac{15553}{100}$.
C. $\dfrac{\sqrt{15553}}{10}$.
D. $\dfrac{\sqrt{16705}}{10}$.",D. $\dfrac{\sqrt{16705}}{10}$.,"Ta có $z\cdot\overline{w}=(- \dfrac{6}{5}+\dfrac{9}{5}i)(\dfrac{7}{3}+\dfrac{11}{2}i)=- \dfrac{127}{10}-\dfrac{12}{5}i$.
Vậy $|z\cdot\overline{w}|=|- \dfrac{127}{10}-\dfrac{12}{5}i|=\dfrac{\sqrt{16705}}{10}$.",Đạt,
167,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,50,Số vô tỉ,"Cho hai số phức $z=2 \sqrt{5}+3 \sqrt{7}i$ và $w=4+\sqrt{2}i$. Môđun của số phức $z\cdot\overline{w}$ bằng

A. $\left(- 2 \sqrt{10} + 12 \sqrt{7}\right)^{2} + \left(3 \sqrt{14} + 8 \sqrt{5}\right)^{2}$.
B. $- \left(- 12 \sqrt{7} + 2 \sqrt{10}\right)^{2} + \left(3 \sqrt{14} + 8 \sqrt{5}\right)^{2}$.
C. $\sqrt{- \left(- 12 \sqrt{7} + 2 \sqrt{10}\right)^{2} + \left(3 \sqrt{14} + 8 \sqrt{5}\right)^{2}}$.
D. $\sqrt{\left(- 2 \sqrt{10} + 12 \sqrt{7}\right)^{2} + \left(3 \sqrt{14} + 8 \sqrt{5}\right)^{2}}$.",D. $\sqrt{\left(- 2 \sqrt{10} + 12 \sqrt{7}\right)^{2} + \left(3 \sqrt{14} + 8 \sqrt{5}\right)^{2}}$.,"Ta có $z\cdot\overline{w}=(2 \sqrt{5}+3 \sqrt{7}i)(4-\sqrt{2}i)=\left(3 \sqrt{14} + 8 \sqrt{5}\right)+\left(- 2 \sqrt{10} + 12 \sqrt{7}\right)i$.
Vậy $|z\cdot\overline{w}|=|\left(3 \sqrt{14} + 8 \sqrt{5}\right)+\left(- 2 \sqrt{10} + 12 \sqrt{7}\right)i|=\sqrt{\left(- 2 \sqrt{10} + 12 \sqrt{7}\right)^{2} + \left(3 \sqrt{14} + 8 \sqrt{5}\right)^{2}}$.",Đạt,
168,"Dạng 1 - Xác định phần thực, phần ảo, liên hợp, môđun",Nhân bản,50,Số vô tỉ,"Cho hai số phức $z=3 \sqrt{7}-7i$ và $w=-2+3 \sqrt{11}i$. Môđun của số phức $z\cdot\overline{w}$ bằng

A. $\left(14 - 9 \sqrt{77}\right)^{2} + \left(- 21 \sqrt{11} - 6 \sqrt{7}\right)^{2}$.
B. $- \left(14 - 9 \sqrt{77}\right)^{2} + \left(6 \sqrt{7} + 21 \sqrt{11}\right)^{2}$.
C. $\sqrt{- \left(14 - 9 \sqrt{77}\right)^{2} + \left(6 \sqrt{7} + 21 \sqrt{11}\right)^{2}}$.
D. $\sqrt{\left(14 - 9 \sqrt{77}\right)^{2} + \left(- 21 \sqrt{11} - 6 \sqrt{7}\right)^{2}}$.",D. $\sqrt{\left(14 - 9 \sqrt{77}\right)^{2} + \left(- 21 \sqrt{11} - 6 \sqrt{7}\right)^{2}}$.,"Ta có $z\cdot\overline{w}=(3 \sqrt{7}-7i)(-2-3 \sqrt{11}i)=\left(- 21 \sqrt{11} - 6 \sqrt{7}\right)-\left(-14 + 9 \sqrt{77}\right)i$.
Vậy $|z\cdot\overline{w}|=|\left(- 21 \sqrt{11} - 6 \sqrt{7}\right)-\left(-14 + 9 \sqrt{77}\right)i|=\sqrt{\left(14 - 9 \sqrt{77}\right)^{2} + \left(- 21 \sqrt{11} - 6 \sqrt{7}\right)^{2}}$.",Đạt,
169,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-2-7i$ có tọa độ là

A. $(2;-7)$.
B. $(-7;-2)$.
C. $(-2;-7)$.
D. $(-2;7)$.",C. $(-2;-7)$.,Điểm biểu diễn số phức $z=-2-7i$ có tọa độ là $(-2;-7)$.,Đạt,
170,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-5+4i$ có tọa độ là

A. $(5;4)$.
B. $(4;-5)$.
C. $(-5;4)$.
D. $(-5;-4)$.",C. $(-5;4)$.,Điểm biểu diễn số phức $z=-5+4i$ có tọa độ là $(-5;4)$.,Đạt,
171,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=7-4i$ có tọa độ là

A. $(-7;-4)$.
B. $(-4;7)$.
C. $(7;-4)$.
D. $(7;4)$.",C. $(7;-4)$.,Điểm biểu diễn số phức $z=7-4i$ có tọa độ là $(7;-4)$.,Đạt,
172,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=1+5i$ có tọa độ là

A. $(-1;5)$.
B. $(5;1)$.
C. $(1;5)$.
D. $(1;-5)$.",C. $(1;5)$.,Điểm biểu diễn số phức $z=1+5i$ có tọa độ là $(1;5)$.,Đạt,
173,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{8}{5}-\dfrac{11}{3}i$ có tọa độ là

A. $(\dfrac{8}{5};- \dfrac{11}{3})$.
B. $(- \dfrac{11}{3};- \dfrac{8}{5})$.
C. $(- \dfrac{8}{5};- \dfrac{11}{3})$.
D. $(- \dfrac{8}{5};\dfrac{11}{3})$.",C. $(- \dfrac{8}{5};- \dfrac{11}{3})$.,Điểm biểu diễn số phức $z=- \dfrac{8}{5}-\dfrac{11}{3}i$ có tọa độ là $(- \dfrac{8}{5};- \dfrac{11}{3})$.,Đạt,
174,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{2}{3}+\dfrac{8}{3}i$ có tọa độ là

A. $(\dfrac{2}{3};\dfrac{8}{3})$.
B. $(\dfrac{8}{3};- \dfrac{2}{3})$.
C. $(- \dfrac{2}{3};\dfrac{8}{3})$.
D. $(- \dfrac{2}{3};- \dfrac{8}{3})$.",C. $(- \dfrac{2}{3};\dfrac{8}{3})$.,Điểm biểu diễn số phức $z=- \dfrac{2}{3}+\dfrac{8}{3}i$ có tọa độ là $(- \dfrac{2}{3};\dfrac{8}{3})$.,Đạt,
175,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=\dfrac{1}{5}-\dfrac{11}{2}i$ có tọa độ là

A. $(- \dfrac{1}{5};- \dfrac{11}{2})$.
B. $(- \dfrac{11}{2};\dfrac{1}{5})$.
C. $(\dfrac{1}{5};- \dfrac{11}{2})$.
D. $(\dfrac{1}{5};\dfrac{11}{2})$.",C. $(\dfrac{1}{5};- \dfrac{11}{2})$.,Điểm biểu diễn số phức $z=\dfrac{1}{5}-\dfrac{11}{2}i$ có tọa độ là $(\dfrac{1}{5};- \dfrac{11}{2})$.,Đạt,
176,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{11}{5}+\dfrac{5}{3}i$ có tọa độ là

A. $(\dfrac{11}{5};\dfrac{5}{3})$.
B. $(\dfrac{5}{3};- \dfrac{11}{5})$.
C. $(- \dfrac{11}{5};\dfrac{5}{3})$.
D. $(- \dfrac{11}{5};- \dfrac{5}{3})$.",C. $(- \dfrac{11}{5};\dfrac{5}{3})$.,Điểm biểu diễn số phức $z=- \dfrac{11}{5}+\dfrac{5}{3}i$ có tọa độ là $(- \dfrac{11}{5};\dfrac{5}{3})$.,Đạt,
177,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- 2 \sqrt{7}+9i$ có tọa độ là

A. $(2 \sqrt{7};9)$.
B. $(9;- 2 \sqrt{7})$.
C. $(- 2 \sqrt{7};9)$.
D. $(- 2 \sqrt{7};-9)$.",C. $(- 2 \sqrt{7};9)$.,Điểm biểu diễn số phức $z=- 2 \sqrt{7}+9i$ có tọa độ là $(- 2 \sqrt{7};9)$.,Đạt,
178,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-3+3 \sqrt{11}i$ có tọa độ là

A. $(3;3 \sqrt{11})$.
B. $(3 \sqrt{11};-3)$.
C. $(-3;3 \sqrt{11})$.
D. $(-3;- 3 \sqrt{11})$.",C. $(-3;3 \sqrt{11})$.,Điểm biểu diễn số phức $z=-3+3 \sqrt{11}i$ có tọa độ là $(-3;3 \sqrt{11})$.,Đạt,
179,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- 2 \sqrt{5}+8i$ có tọa độ là

A. $(2 \sqrt{5};8)$.
B. $(8;- 2 \sqrt{5})$.
C. $(- 2 \sqrt{5};8)$.
D. $(- 2 \sqrt{5};-8)$.",C. $(- 2 \sqrt{5};8)$.,Điểm biểu diễn số phức $z=- 2 \sqrt{5}+8i$ có tọa độ là $(- 2 \sqrt{5};8)$.,Đạt,
180,Dạng 2 - Biểu diễn hình học,Nhân bản,20,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-4-2 \sqrt{10}i$ có tọa độ là

A. $(4;- 2 \sqrt{10})$.
B. $(- 2 \sqrt{10};-4)$.
C. $(-4;- 2 \sqrt{10})$.
D. $(-4;2 \sqrt{10})$.",C. $(-4;- 2 \sqrt{10})$.,Điểm biểu diễn số phức $z=-4-2 \sqrt{10}i$ có tọa độ là $(-4;- 2 \sqrt{10})$.,Đạt,
181,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=4+i$ có tọa độ là

A. $(-4;1)$.
B. $(1;4)$.
C. $(4;1)$.
D. $(4;-1)$.",C. $(4;1)$.,Điểm biểu diễn số phức $z=4+i$ có tọa độ là $(4;1)$.,Đạt,
182,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=8+7i$ có tọa độ là

A. $(-8;7)$.
B. $(7;8)$.
C. $(8;7)$.
D. $(8;-7)$.",C. $(8;7)$.,Điểm biểu diễn số phức $z=8+7i$ có tọa độ là $(8;7)$.,Đạt,
183,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=3+4i$ có tọa độ là

A. $(-3;4)$.
B. $(4;3)$.
C. $(3;4)$.
D. $(3;-4)$.",C. $(3;4)$.,Điểm biểu diễn số phức $z=3+4i$ có tọa độ là $(3;4)$.,Đạt,
184,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-6-i$ có tọa độ là

A. $(6;-1)$.
B. $(-1;-6)$.
C. $(-6;-1)$.
D. $(-6;1)$.",C. $(-6;-1)$.,Điểm biểu diễn số phức $z=-6-i$ có tọa độ là $(-6;-1)$.,Đạt,
185,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=\dfrac{11}{5}-\dfrac{7}{2}i$ có tọa độ là

A. $(- \dfrac{11}{5};- \dfrac{7}{2})$.
B. $(- \dfrac{7}{2};\dfrac{11}{5})$.
C. $(\dfrac{11}{5};- \dfrac{7}{2})$.
D. $(\dfrac{11}{5};\dfrac{7}{2})$.",C. $(\dfrac{11}{5};- \dfrac{7}{2})$.,Điểm biểu diễn số phức $z=\dfrac{11}{5}-\dfrac{7}{2}i$ có tọa độ là $(\dfrac{11}{5};- \dfrac{7}{2})$.,Đạt,
186,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=\dfrac{1}{5}-\dfrac{1}{4}i$ có tọa độ là

A. $(- \dfrac{1}{5};- \dfrac{1}{4})$.
B. $(- \dfrac{1}{4};\dfrac{1}{5})$.
C. $(\dfrac{1}{5};- \dfrac{1}{4})$.
D. $(\dfrac{1}{5};\dfrac{1}{4})$.",C. $(\dfrac{1}{5};- \dfrac{1}{4})$.,Điểm biểu diễn số phức $z=\dfrac{1}{5}-\dfrac{1}{4}i$ có tọa độ là $(\dfrac{1}{5};- \dfrac{1}{4})$.,Đạt,
187,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{9}{2}-\dfrac{5}{2}i$ có tọa độ là

A. $(\dfrac{9}{2};- \dfrac{5}{2})$.
B. $(- \dfrac{5}{2};- \dfrac{9}{2})$.
C. $(- \dfrac{9}{2};- \dfrac{5}{2})$.
D. $(- \dfrac{9}{2};\dfrac{5}{2})$.",C. $(- \dfrac{9}{2};- \dfrac{5}{2})$.,Điểm biểu diễn số phức $z=- \dfrac{9}{2}-\dfrac{5}{2}i$ có tọa độ là $(- \dfrac{9}{2};- \dfrac{5}{2})$.,Đạt,
188,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{4}{3}-\dfrac{7}{3}i$ có tọa độ là

A. $(\dfrac{4}{3};- \dfrac{7}{3})$.
B. $(- \dfrac{7}{3};- \dfrac{4}{3})$.
C. $(- \dfrac{4}{3};- \dfrac{7}{3})$.
D. $(- \dfrac{4}{3};\dfrac{7}{3})$.",C. $(- \dfrac{4}{3};- \dfrac{7}{3})$.,Điểm biểu diễn số phức $z=- \dfrac{4}{3}-\dfrac{7}{3}i$ có tọa độ là $(- \dfrac{4}{3};- \dfrac{7}{3})$.,Đạt,
189,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=3 \sqrt{11}+3i$ có tọa độ là

A. $(- 3 \sqrt{11};3)$.
B. $(3;3 \sqrt{11})$.
C. $(3 \sqrt{11};3)$.
D. $(3 \sqrt{11};-3)$.",C. $(3 \sqrt{11};3)$.,Điểm biểu diễn số phức $z=3 \sqrt{11}+3i$ có tọa độ là $(3 \sqrt{11};3)$.,Đạt,
190,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=3 \sqrt{11}-3 \sqrt{7}i$ có tọa độ là

A. $(- 3 \sqrt{11};- 3 \sqrt{7})$.
B. $(- 3 \sqrt{7};3 \sqrt{11})$.
C. $(3 \sqrt{11};- 3 \sqrt{7})$.
D. $(3 \sqrt{11};3 \sqrt{7})$.",C. $(3 \sqrt{11};- 3 \sqrt{7})$.,Điểm biểu diễn số phức $z=3 \sqrt{11}-3 \sqrt{7}i$ có tọa độ là $(3 \sqrt{11};- 3 \sqrt{7})$.,Đạt,
191,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=6-\sqrt{6}i$ có tọa độ là

A. $(-6;- \sqrt{6})$.
B. $(- \sqrt{6};6)$.
C. $(6;- \sqrt{6})$.
D. $(6;\sqrt{6})$.",C. $(6;- \sqrt{6})$.,Điểm biểu diễn số phức $z=6-\sqrt{6}i$ có tọa độ là $(6;- \sqrt{6})$.,Đạt,
192,Dạng 2 - Biểu diễn hình học,Nhân bản,28,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \sqrt{5}+3 \sqrt{2}i$ có tọa độ là

A. $(\sqrt{5};3 \sqrt{2})$.
B. $(3 \sqrt{2};- \sqrt{5})$.
C. $(- \sqrt{5};3 \sqrt{2})$.
D. $(- \sqrt{5};- 3 \sqrt{2})$.",C. $(- \sqrt{5};3 \sqrt{2})$.,Điểm biểu diễn số phức $z=- \sqrt{5}+3 \sqrt{2}i$ có tọa độ là $(- \sqrt{5};3 \sqrt{2})$.,Đạt,
193,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-5-8i$ có tọa độ là

A. $(5;-8)$.
B. $(-8;-5)$.
C. $(-5;-8)$.
D. $(-5;8)$.",C. $(-5;-8)$.,Điểm biểu diễn số phức $z=-5-8i$ có tọa độ là $(-5;-8)$.,Đạt,
194,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-3+4i$ có tọa độ là

A. $(3;4)$.
B. $(4;-3)$.
C. $(-3;4)$.
D. $(-3;-4)$.",C. $(-3;4)$.,Điểm biểu diễn số phức $z=-3+4i$ có tọa độ là $(-3;4)$.,Đạt,
195,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-2-i$ có tọa độ là

A. $(2;-1)$.
B. $(-1;-2)$.
C. $(-2;-1)$.
D. $(-2;1)$.",C. $(-2;-1)$.,Điểm biểu diễn số phức $z=-2-i$ có tọa độ là $(-2;-1)$.,Đạt,
196,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=-3-i$ có tọa độ là

A. $(3;-1)$.
B. $(-1;-3)$.
C. $(-3;-1)$.
D. $(-3;1)$.",C. $(-3;-1)$.,Điểm biểu diễn số phức $z=-3-i$ có tọa độ là $(-3;-1)$.,Đạt,
197,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=\dfrac{1}{2}-\dfrac{5}{2}i$ có tọa độ là

A. $(- \dfrac{1}{2};- \dfrac{5}{2})$.
B. $(- \dfrac{5}{2};\dfrac{1}{2})$.
C. $(\dfrac{1}{2};- \dfrac{5}{2})$.
D. $(\dfrac{1}{2};\dfrac{5}{2})$.",C. $(\dfrac{1}{2};- \dfrac{5}{2})$.,Điểm biểu diễn số phức $z=\dfrac{1}{2}-\dfrac{5}{2}i$ có tọa độ là $(\dfrac{1}{2};- \dfrac{5}{2})$.,Đạt,
198,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{2}{5}+\dfrac{4}{3}i$ có tọa độ là

A. $(\dfrac{2}{5};\dfrac{4}{3})$.
B. $(\dfrac{4}{3};- \dfrac{2}{5})$.
C. $(- \dfrac{2}{5};\dfrac{4}{3})$.
D. $(- \dfrac{2}{5};- \dfrac{4}{3})$.",C. $(- \dfrac{2}{5};\dfrac{4}{3})$.,Điểm biểu diễn số phức $z=- \dfrac{2}{5}+\dfrac{4}{3}i$ có tọa độ là $(- \dfrac{2}{5};\dfrac{4}{3})$.,Đạt,
199,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{8}{5}-\dfrac{7}{2}i$ có tọa độ là

A. $(\dfrac{8}{5};- \dfrac{7}{2})$.
B. $(- \dfrac{7}{2};- \dfrac{8}{5})$.
C. $(- \dfrac{8}{5};- \dfrac{7}{2})$.
D. $(- \dfrac{8}{5};\dfrac{7}{2})$.",C. $(- \dfrac{8}{5};- \dfrac{7}{2})$.,Điểm biểu diễn số phức $z=- \dfrac{8}{5}-\dfrac{7}{2}i$ có tọa độ là $(- \dfrac{8}{5};- \dfrac{7}{2})$.,Đạt,
200,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=- \dfrac{7}{3}-\dfrac{9}{4}i$ có tọa độ là

A. $(\dfrac{7}{3};- \dfrac{9}{4})$.
B. $(- \dfrac{9}{4};- \dfrac{7}{3})$.
C. $(- \dfrac{7}{3};- \dfrac{9}{4})$.
D. $(- \dfrac{7}{3};\dfrac{9}{4})$.",C. $(- \dfrac{7}{3};- \dfrac{9}{4})$.,Điểm biểu diễn số phức $z=- \dfrac{7}{3}-\dfrac{9}{4}i$ có tọa độ là $(- \dfrac{7}{3};- \dfrac{9}{4})$.,Đạt,
201,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=4+2 \sqrt{10}i$ có tọa độ là

A. $(-4;2 \sqrt{10})$.
B. $(2 \sqrt{10};4)$.
C. $(4;2 \sqrt{10})$.
D. $(4;- 2 \sqrt{10})$.",C. $(4;2 \sqrt{10})$.,Điểm biểu diễn số phức $z=4+2 \sqrt{10}i$ có tọa độ là $(4;2 \sqrt{10})$.,Đạt,
202,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=\sqrt{5}-9i$ có tọa độ là

A. $(- \sqrt{5};-9)$.
B. $(-9;\sqrt{5})$.
C. $(\sqrt{5};-9)$.
D. $(\sqrt{5};9)$.",C. $(\sqrt{5};-9)$.,Điểm biểu diễn số phức $z=\sqrt{5}-9i$ có tọa độ là $(\sqrt{5};-9)$.,Đạt,
203,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=3+3 \sqrt{2}i$ có tọa độ là

A. $(-3;3 \sqrt{2})$.
B. $(3 \sqrt{2};3)$.
C. $(3;3 \sqrt{2})$.
D. $(3;- 3 \sqrt{2})$.",C. $(3;3 \sqrt{2})$.,Điểm biểu diễn số phức $z=3+3 \sqrt{2}i$ có tọa độ là $(3;3 \sqrt{2})$.,Đạt,
