STT,Định danh,Chủ đề,Đề bài (chuyển đổi),Đáp án (chuyển đổi),Lời giải (chuyển đổi),Nhận xét A,Nhận xét B,Ghi chú lỗi chuyển markdown
41,SP-41 (Trang 160 - Câu 33),Số phức,"Xét các số phức $z$ thỏa mãn $(\bar{z}+3i)(z-3)$ là số thuần ảo. Trên mặt phẳng tọa độ, tập hợp tất cả các điểm biểu diễn các số phức $z$ là một đường tròn có bán kính bằng

A. $\dfrac{9}{2}$.
B. $3\sqrt{2}$.
C. $3$.
D. $\dfrac{3\sqrt{2}}{2}$.",D. $\dfrac{3\sqrt{2}}{2}$.,"Giả sử $z=x+yi \Rightarrow \bar{z}=x-yi$ trong đó $x,y\in\mathbb{R}$.

Ta có $(\bar{z}+3i)(z-3) = x^2+y^2-3x-3y+(3x+3y-9)i$.

Số phức $(\bar{z}+3i)(z-3)$ là số thuần ảo khi chỉ khi $x^2+y^2-3x-3y=0 \Leftrightarrow \left(x-\dfrac{3}{2}\right)^2+\left(y-\dfrac{3}{2}\right)^2=\dfrac{9}{2}$.

Vậy tập hợp tất cả các điểm biểu diễn số phức $z$ thỏa mãn yêu cầu bài toán là đường tròn có bán kính bằng $\dfrac{3\sqrt{2}}{2}$.",,,
42,SP-42 (Trang 168 - Câu 49),Số phức,"Có bao nhiêu số phức $z$ thỏa mãn $|z|(z-3-i)+2i=(4-i)z$?

A. $1$.
B. $3$.
C. $2$.
D. $4$.",B. $3$.,"Ta có $|z|(z-3-i)+2i=(4-i)z \Leftrightarrow z(4-|z|-i)=-3|z|+(2-|z|)i$.

Đặt $t=|z|$, điều kiện $t\ge0, t\in\mathbb{R}$. Lấy mô-đun hai vế ta được

$t|4-t-i| = |-3t+(2-t)i|$

$\Leftrightarrow t\sqrt{(4-t)^2+1} = \sqrt{9t^2+(2-t)^2}$

$\Leftrightarrow t^4-8t^3+6t^2+4t-3=0$

$\Leftrightarrow (t-1)(t^3-7t^2-t+3)=0$

$\Leftrightarrow \left[\begin{array}{l} t=1 \\ t\approx7,081 \\ t\approx0,61146 \\ t\approx-0,6928. \end{array}\right.$

Do đó, có 3 giá trị $t$ thỏa mãn.

Mặt khác, với mỗi $t\ge0$, ta có $z=\dfrac{-3t+(2-t)i}{4-t-i}$ nên có duy nhất một số phức $z$ thỏa mãn.

Vậy có 3 số phức thỏa mãn yêu cầu bài toán.",,,"[Lỗi toán học trong tài liệu gốc] Bản chuyển đổi TRUNG THỰC với ảnh gốc (trang 169), nhưng lời giải trong tài liệu gốc có lỗi tính toán: phương trình bậc bốn ghi là t^4-8t^3+6t^2+4t-3=0 (và phân tích thành (t-1)(t^3-7t^2-t+3)=0) là SAI. Bình phương đúng của t·√((4-t)^2+1)=√(9t^2+(2-t)^2) cho ra t^4-8t^3+7t^2+4t-4=0 = (t-1)(t^3-7t^2+4)=0 (kiểm chứng tại t=2: VT-VP = 20-36 = -16 khớp với đa thức đúng, không khớp -19 của đa thức trong tài liệu). Dù vậy cả hai đa thức đều cho đúng 3 nghiệm t>0 nên đáp án B (3 số phức) vẫn đúng. Đây là lỗi của tài liệu gốc, không phải lỗi chuyển đổi."
43,SP-43 (Trang 171 - Câu 4),Số phức,"Số phức liên hợp của số phức $5-3i$ là

A. $-5+3i$.
B. $-3+5i$.
C. $-5-3i$.
D. $5+3i$.",D. $5+3i$.,Số phức liên hợp của số phức $5-3i$ là $5+3i$.,,,
44,SP-44 (Trang 176 - Câu 28),Số phức,"Cho hai số phức $z_1=-2+i$ và $z_2=1+i$. Trên mặt phẳng tọa độ $Oxy$, điểm biểu diễn số phức $2z_1+z_2$ có tọa độ là

A. $(3;-3)$.
B. $(2;-3)$.
C. $(-3;3)$.
D. $(-3;2)$.",C. $(-3;3)$.,"Ta có $2z_1+z_2=-4+2i+1+i=-3+3i$.

Vậy điểm biểu diễn số phức $2z_1+z_2$ có tọa độ là $(-3;3)$.",,,
45,SP-45 (Trang 177 - Câu 31),Số phức,"Cho số phức $z$ thoả mãn $3(\bar{z}-i)-(2+3i)z=7-16i$. Mô-đun của $z$ bằng

A. $\sqrt{5}$.
B. $5$.
C. $\sqrt{3}$.
D. $3$.",A. $\sqrt{5}$.,"Đặt $z=a+bi\,(a;b\in\mathbb{R})$. Theo đề ta có
$3(a-bi-i)-(2+3i)(a+bi)=7-16i$
$\Leftrightarrow 3a-3bi-3i-2a-2bi-3ai+3b=7-16i$
$\Leftrightarrow (a+3b)+(-3a-5b-3)i=7-16i$
$\Leftrightarrow \begin{cases}a+3b=7\\-3a-5b-3=-16\end{cases}\Leftrightarrow \begin{cases}a+3b=7\\-3a-5b=-13\end{cases}\Leftrightarrow \begin{cases}a=1\\b=2.\end{cases}$
Vậy $|z|=\sqrt{1^2+2^2}=\sqrt5$.",,,
46,SP-46 (Trang 184 - Câu 44),Số phức,"Xét số phức $z$ thỏa mãn $|z|=\sqrt{2}$. Trên mặt phẳng tọa độ $Oxy$, tập hợp điểm biểu diễn các số phức $w=\dfrac{3+iz}{1+z}$ là một đường tròn có bán kính bằng

A. $2\sqrt{3}$.
B. $20$.
C. $12$.
D. $2\sqrt{5}$.",D. $2\sqrt{5}$.,"Ta có $w=\dfrac{3+iz}{1+z} \Leftrightarrow w+wz=3+iz \Leftrightarrow w-3=(i-w)z$. Lấy mô-đun hai vế ta được
$|w-3|=|(i-w)z| \Leftrightarrow |w-3|=|(i-w)||z|$. $(*)$
Gọi $w=x+yi,\, x,y\in\mathbb{R}$. Khi đó ta có
$(*) \Leftrightarrow |w-3|=|(i-w)||z| \Leftrightarrow \sqrt{(x-3)^2+y^2}=\sqrt{x^2+(1-y)^2}\cdot\sqrt{2}$
$\Leftrightarrow (x-3)^2+y^2=2x^2+2(1-y)^2 \Leftrightarrow x^2+y^2+6x-4y-7=0$.
Vậy tập hợp điểm biểu diễn số phức $w$ thỏa mãn $|z|=\sqrt{2}$ là đường tròn có tâm $I(-3;2)$ và bán kính bằng $2\sqrt{5}$.",,,
47,SP-47 (Trang 190 - Câu 4),Số phức,"Trên mặt phẳng tọa độ, biết $M(-1;3)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $3$.
B. $-1$.
C. $-3$.
D. $1$.",B. $-1$.,"Ta có $M(-1;3)$ là điểm biểu diễn số phức $z=-1+3i$.
Do đó, phần thực của $z$ là $-1$.",,,
48,SP-48 (Trang 190 - Câu 6),Số phức,"Cho hai số phức $z_1=3+2i$ và $z_2=2-i$. Số phức $z_1+z_2$ bằng

A. $5-i$.
B. $5+i$.
C. $-5-i$.
D. $-5+i$.",B. $5+i$.,Ta có: $z_1+z_2=(3+2i)+(2-i)=5+i$.,,,
49,SP-49 (Trang 193 - Câu 24),Số phức,"Số phức liên hợp của số phức $z=-2+5i$ là

A. $\bar{z}=2-5i$.
B. $\bar{z}=2+5i$.
C. $\bar{z}=-2+5i$.
D. $\bar{z}=-2-5i$.",D. $\bar{z}=-2-5i$.,Ta có số phức liên hợp của số phức $z=-2+5i$ là $\bar{z}=-2-5i$.,,,
50,SP-50 (Trang 195 - Câu 31),Số phức,"Cho hai số phức $z=2+2i$ và $w=2+i$. Mô-đun của số phức $z\cdot\overline{w}$ bằng

A. $40$.
B. $8$.
C. $2\sqrt{2}$.
D. $2\sqrt{10}$.",D. $2\sqrt{10}$.,"Ta có $z\cdot\overline{w}=(2+2i)(2-i)=6+2i$.
Vậy $|z\cdot\overline{w}|=|6+2i|=\sqrt{6^2+2^2}=2\sqrt{10}$.",,,
51,SP-51 (Trang 208 - Câu 12),Số phức,"Trong mặt phẳng tọa độ $Oxy$, điểm $M(-3;2)$ là điểm biểu diễn của số phức nào sau đây?

A. $z_3=3-2i$.
B. $z_4=3+2i$.
C. $z_1=-3-2i$.
D. $z_2=-3+2i$.",D. $z_2=-3+2i$.,"Trong mặt phẳng tọa độ $Oxy$, điểm $M(-3;2)$ biểu diễn cho số phức $z_2=-3+2i$.",,,
52,SP-52 (Trang 209 - Câu 19),Số phức,"Cho hai số phức $z=5+2i$ và $w=1-4i$. Số phức $z+w$ bằng

A. $6+2i$.
B. $4+6i$.
C. $6-2i$.
D. $-4-6i$.",C. $6-2i$.,Ta có $z+w=5+2i+1-4i=(5+1)+(2-4)i=6-2i$.,,,
53,SP-53 (Trang 210 - Câu 25),Số phức,"Phần thực của số phức $z=6-2i$ bằng

A. $-2$.
B. $2$.
C. $6$.
D. $-6$.",C. $6$.,Phần thực của số phức $z=6-2i$ bằng $6$.,,,
54,SP-54 (Trang 211 - Câu 32),Số phức,"Cho số phức $z$ thỏa mãn $iz=6+5i$. Số phức liên hợp của $z$ là

A. $\bar{z}=5-6i$.
B. $\bar{z}=-5+6i$.
C. $\bar{z}=5+6i$.
D. $\bar{z}=-5-6i$.",C. $\bar{z}=5+6i$.,Ta có $iz=6+5i \Leftrightarrow z=\dfrac{6+5i}{i}=5-6i$. Vậy $\bar{z}=5+6i$.,,,
55,SP-55 (Trang 214 - Câu 42),Số phức,"Xét các số phức $z, w$ thỏa mãn $|z|=1$ và $|w|=2$. Khi $|z+i\overline{w}+6+8i|$ đạt giá trị nhỏ nhất, $|z-w|$ bằng

A. $\dfrac{\sqrt{29}}{5}$.
B. $\dfrac{\sqrt{221}}{5}$.
C. $3$.
D. $\sqrt{5}$.",B. $\dfrac{\sqrt{221}}{5}$.,"Ta có $|z+i\overline{w}+6+8i| \ge |6+8i|-|z|-|i\overline{w}| = 10-1-2=7$.
Dấu bằng xảy ra khi và chỉ khi $\begin{cases}z=-\dfrac{3}{5}-\dfrac{4}{5}i\\i\overline{w}=-\dfrac{6}{5}-\dfrac{8}{5}i\end{cases} \Leftrightarrow \begin{cases}z=-\dfrac{3}{5}-\dfrac{4}{5}i\\w=\dfrac{8}{5}+\dfrac{6}{5}i.\end{cases}$
Khi đó $|z-w|=\dfrac{\sqrt{225}}{5}$.",,,"Chuyển đổi khớp hoàn toàn với tài liệu gốc (trang 214-215, Câu 42) — không có lỗi chuyển markdown. Lưu ý (không tính vào lỗi chuyển đổi): bản thân tài liệu gốc có sai sót toán học — khi giải $i\overline{w}=-\dfrac{6}{5}-\dfrac{8}{5}i$, tài liệu suy ra $w=\dfrac{8}{5}+\dfrac{6}{5}i$ (sai dấu, đúng phải là $w=-\dfrac{8}{5}-\dfrac{6}{5}i$) và $|z-w|=\dfrac{\sqrt{225}}{5}$ (đúng ra là $\dfrac{\sqrt{29}}{5}$). Đáp án B mà tài liệu chọn cũng theo lỗi tính này. Lỗi này thuộc về nội dung toán học của tài liệu gốc, không phải lỗi trong quá trình chuyển đổi sang markdown."
56,SP-56 (Trang 217 - Câu 48),Số phức,"Trên tập hợp các số phức, xét phương trình $z^2-2(m+1)z+m^2=0$ ($m$ là tham số thực). Có bao nhiêu giá trị của $m$ để phương trình đó có nghiệm $z_0$ thỏa mãn $|z_0|=5$?

A. $2$.
B. $3$.
C. $1$.
D. $4$.",B. $3$.,"Ta có $\Delta'=2m+1$.
- TH1: $\Delta'=0 \Leftrightarrow m=-\dfrac{1}{2}$ thì $z_0=\dfrac{1}{2}$, suy ra $m=-\dfrac{1}{2}$ (loại).
- TH2: $\Delta'<0 \Leftrightarrow m<-\dfrac{1}{2}$ thì $z_0=m+1+\sqrt{|2m+1|}\,i$ hoặc $z_0=m+1-\sqrt{|2m+1|}\,i$.
Theo đề bài $|z_0|=5 \Rightarrow (m+1)^2+(-2m-1)=25 \Leftrightarrow \begin{bmatrix}m=5 & (\text{loại})\\m=-5 & (\text{nhận})\end{bmatrix}$
- TH3: $\Delta'>0 \Leftrightarrow m>-\dfrac{1}{2}$ thì phương trình có hai nghiệm thực phân biệt
  Khi $z_0=5$: thế vào phương trình ta được $m^2-10m+15=0 \Leftrightarrow m=5\pm\sqrt{10}$ (nhận).
  Khi $z_0=-5$: thế vào phương trình ta được $m^2+10m+35=0$ vô nghiệm.
Vậy có 3 giá trị của $m$.",,,"[Lỗi toán học trong tài liệu gốc] Đề bài in trong ảnh gốc (trang 217) là z^2-2(m+1)z+m=0 (hệ số tự do là m), nhưng đây là lỗi in/thiếu của tài liệu gốc: toàn bộ lời giải lại dùng z^2-2(m+1)z+m^2=0 (vì Δ'=2m+1 chỉ đúng khi hệ số tự do là m^2, và bước m^2-10m+15=0 cũng dùng m^2). Bản chuyển đổi đã ghi de_bai đúng theo lời giải là m^2 (khớp bài toán chuẩn của đề TN THPT 2021, đáp án B=3 đúng). Như vậy de_bai trong dữ liệu KHÔNG khớp từng chữ với ảnh (m^2 vs m) nhưng lại là bản đúng; lệch này là do sửa lỗi in của tài liệu gốc, cần lưu ý khi đối chiếu với ảnh."
57,SP-57 (Trang 220 - Câu 1),Số phức,"Cho hai số phức $z=4+3i$ và $w=1-i$. Số phức $z-w$ bằng

A. $5+2i$.
B. $7-i$.
C. $3+4i$.
D. $-3-4i$.",C. $3+4i$.,Ta có $z-w=4+3i-(1-i)=3+4i$.,,,
58,SP-58 (Trang 222 - Câu 15),Số phức,"Phần ảo của số phức $z=3-4i$ bằng

A. $4$.
B. $-3$.
C. $-4$.
D. $3$.",C. $-4$.,Phần ảo của số phức $z=3-4i$ là $-4$.,,,
59,SP-59 (Trang 225 - Câu 33),Số phức,"Cho số phức $z=4-2i$, mô-đun của số phức $(1+i)z$ bằng

A. $2\sqrt{10}$.
B. $24$.
C. $2\sqrt{26}$.
D. $40$.",A. $2\sqrt{10}$.,"Ta có $(1+i)z=(1+i)(4-2i)=6+2i$.
Do đó mô-đun của $(1+i)z$ là $|6+2i|=\sqrt{6^2+2^2}=\sqrt{40}=2\sqrt{10}$.
Vậy $|(1+i)z|=2\sqrt{10}$.",,,
60,SP-60 (Trang 229 - Câu 43),Số phức,"Xét các số phức $z$ và $w$ thay đổi thỏa mãn $|z|=|w|=4$ và $|z-w|=4\sqrt{2}$. Giá trị nhỏ nhất của $P=|z-1-i|+|w+3-4i|$ bằng

A. $\sqrt{41}$.
B. $5-2\sqrt{2}$.
C. $5-\sqrt{2}$.
D. $\sqrt{13}$.",D. $\sqrt{13}$.,"Đặt $\dfrac{z}{w}=x+yi\,(x,y\in\mathbb{R})$.
Ta có $\begin{cases}\dfrac{|z|}{|w|}=1\\\dfrac{|z-w|}{|w|}=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}\left|\dfrac{z}{w}\right|=1\\\left|\dfrac{z-w}{w}\right|=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}\sqrt{x^2+y^2}=1\\\left|\dfrac{z}{w}-1\right|=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}\sqrt{x^2+y^2}=1\\\sqrt{(x-1)^2+y^2}=\sqrt{2}\end{cases} \Leftrightarrow \begin{cases}x^2+y^2=1\\(x-1)^2+y^2=2\end{cases} \Leftrightarrow \begin{cases}x=0\\y=\pm 1.\end{cases}$
Suy ra $z=iw$ hoặc $z=-iw$.

Trường hợp 1:
$z=iw \Rightarrow P=|iw-1-i|+|w+3-4i|$
$=|w-1+i|+|-w-3+4i|$
$\ge |w-1+i-w-3+4i|=\sqrt{41}.$ (1)

Trường hợp 2:
$z=-iw \Rightarrow P=|-iw-1-i|+|w+3-4i|$
$=|-w-1+i|+|w+3-4i| \ge |-w-1+i+w+3-4i|=\sqrt{13}.$ (2)

Từ (1) và (2) $\Rightarrow \min P=\sqrt{13}$ đạt được $\Leftrightarrow \begin{cases}z=\dfrac{2-9\sqrt{23}}{13}-\dfrac{3+6\sqrt{23}}{13}i\\w=-\dfrac{3+6\sqrt{23}}{13}-\dfrac{2-9\sqrt{23}}{13}i.\end{cases}$",,,
61,SP-61 (Trang 232 - Câu 48),Số phức,"Trên tập hợp các số phức, xét phương trình $z^2+4az+b^2+2=0$ ($a, b$ là các tham số thực). Có bao nhiêu cặp số thực $(a;b)$ sao cho phương trình đó có hai nghiệm $z_1, z_2$ thỏa mãn $z_1+2iz_2=3+3i$?

A. $4$.
B. $1$.
C. $2$.
D. $3$.",D. $3$.,"Trường hợp 1: $z_1$ và $z_2$ là hai nghiệm thực.
Ta có $z_1+2iz_2=3+3i \Leftrightarrow \begin{cases}z_1=3\\z_2=\dfrac{3}{2}.\end{cases}$
Khi đó $-4a=z_1+z_2=3+\dfrac{3}{2} \Leftrightarrow a=-\dfrac{9}{8}$ và $b^2+2=z_1\cdot z_2=3\cdot\dfrac{3}{2} \Leftrightarrow b=\pm\dfrac{\sqrt{10}}{2}$.
Như vậy, trường hợp 1 có $(a;b)\in\left\{\left(-\dfrac{9}{8};-\dfrac{\sqrt{10}}{2}\right);\left(-\dfrac{9}{8};\dfrac{\sqrt{10}}{2}\right)\right\}$.

Trường hợp 2: $z_1$ và $z_2$ là hai nghiệm phức.
Đặt $z_1=x+yi\,(x,y\in\mathbb{R})$ thì $z_2=x-yi$. Ta có
$z_1+2iz_2=3+3i \Leftrightarrow x+yi+2i(x-yi)=3+3i \Leftrightarrow \begin{cases}x+2y=3\\2x+y=3\end{cases} \Leftrightarrow \begin{cases}x=1\\y=1\end{cases} \Rightarrow \begin{cases}z_1=1+i\\z_2=1-i.\end{cases}$
Khi đó $-4a=z_1+z_2=2 \Leftrightarrow a=-\dfrac{1}{2}$ và $b^2+2=z_1\cdot z_2=2 \Leftrightarrow b=0$.
Như vậy, trường hợp 2 có $(a;b)=\left(-\dfrac{1}{2};0\right)$.

Vậy có 3 cặp số thực $(a;b)$ thỏa mãn yêu cầu bài toán.",,,
62,SP-62 (Trang 237 - Câu 14),Số phức,"Môđun của số phức $z=3+4i$ bằng

A. $25$.
B. $\sqrt{7}$.
C. $5$.
D. $7$.",C. $5$.,Ta có $|z|=\sqrt{3^2+4^2}=\sqrt{25}=5$.,,,
63,SP-63 (Trang 239 - Câu 25),Số phức,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=2-7i$ có tọa độ là

A. $(2;7)$.
B. $(-2;7)$.
C. $(2;-7)$.
D. $(-7;2)$.",C. $(2;-7)$.,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=2-7i$ có tọa độ là $(2;-7)$.",,,
64,SP-64 (Trang 239 - Câu 26),Số phức,"Cho hai số phức $z_1=2+3i, z_2=1-i$. Số phức $z_1+z_2$ bằng

A. $5+i$.
B. $3+2i$.
C. $1+4i$.
D. $3+4i$.",B. $3+2i$.,Ta có $z_1+z_2=2+3i+1-i=3+2i$.,,,
65,SP-65 (Trang 244 - Câu 45),Số phức,"Cho các số phức $z_1, z_2, z_3$ thỏa mãn $|z_1|=|z_2|=2|z_3|=2$ và $8(z_1+z_2)z_3=3z_1z_2$. Gọi $A, B, C$ lần lượt là các điểm biểu diễn của $z_1, z_2, z_3$ trên mặt phẳng tọa độ. Diện tích tam giác $ABC$ bằng

A. $\dfrac{\sqrt{55}}{32}$.
B. $\dfrac{\sqrt{55}}{16}$.
C. $\dfrac{\sqrt{55}}{24}$.
D. $\dfrac{\sqrt{55}}{8}$.",B. $\dfrac{\sqrt{55}}{16}$.,"Ta có $8(z_1+z_2)z_3=3z_1z_2 \Leftrightarrow \dfrac{8}{z_2}+\dfrac{8}{z_1}=\dfrac{3}{z_3} \Leftrightarrow \dfrac{8\overline{z_2}}{z_2\overline{z_2}}+\dfrac{8\overline{z_1}}{z_1\overline{z_1}}=\dfrac{3\overline{z_3}}{z_3\overline{z_3}} \Leftrightarrow \dfrac{8\overline{z_2}}{|z_2|^2}+\dfrac{8\overline{z_1}}{|z_1|^2}=\dfrac{3\overline{z_3}}{|z_3|^2}$
$\Leftrightarrow \dfrac{8\overline{z_2}}{4}+\dfrac{8\overline{z_1}}{4}=\dfrac{3\overline{z_3}}{1} \Leftrightarrow \overline{z_2}+\overline{z_1}=\dfrac{3\overline{z_3}}{2}.$ (1)
Gọi $A', B', C'$ lần lượt là các điểm biểu diễn của $\overline{z_1}, -z_2, -z_3$ suy ra $A', B', C'$ lần lượt đối xứng với $A, B, C$ qua trục $Ox \Rightarrow S_{\triangle ABC}=S_{\triangle A'B'C'}$.
Ta có $(1) \Leftrightarrow \overrightarrow{OA'}+\overrightarrow{OB'}=\dfrac{3}{2}\overrightarrow{OC'}=\overrightarrow{OD}$, trong đó $OA'=OB'=2OC'=2, \overrightarrow{OD}=\dfrac{3}{2}\overrightarrow{OC'}$, suy ra tứ giác $OA'DB'$ là hình thoi có $OA'=OB'=2, OD=\dfrac{3}{2}$ và $C'\in OD: OC'=1$.
Ta có $DC'=\dfrac{1}{2} \Rightarrow IC'=ID-DC'=\dfrac{3}{4}-\dfrac{1}{2}=\dfrac{1}{4} \Rightarrow IC'=\dfrac{1}{3}ID \Rightarrow S_{\triangle A'B'C'}=\dfrac{1}{3}S_{\triangle OA'B'}$.
$S_{\triangle OA'B'}=2S_{\triangle OA'I}=OI\cdot\sqrt{OA'^2-OI^2}=\dfrac{3}{4}\cdot\sqrt{4-\dfrac{9}{16}}=\dfrac{3\sqrt{55}}{16}$.
Vậy $S_{\triangle ABC}=S_{\triangle A'B'C'}=\dfrac{\sqrt{55}}{16}$.",,,
66,SP-66 (Trang 245 - Câu 48),Số phức,"Có bao nhiêu số phức $z$ thỏa mãn $|z^2|=2|z-\bar{z}|$ và $|(z-4)(\bar{z}-4i)|=|z+4i|^2$?

A. $3$.
B. $1$.
C. $2$.
D. $4$.",D. $4$.,"Ta có $\overline{z}-4i=\overline{z+4i} \Rightarrow |\overline{z}-4i|=|\overline{z+4i}|=|z+4i|$. Do đó $|(z-4)(\overline{z}-4i)|=|z+4i|^2 \Leftrightarrow |z-4|\cdot|\overline{z}-4i|=|z+4i|^2 \Leftrightarrow |z-4|\cdot|z+4i|=|z+4i|^2$
$\Leftrightarrow \begin{bmatrix}|z+4i|=0\\|z-4|=|z+4i|.\end{bmatrix}$
Xét (1): $|z+4i|=0 \Leftrightarrow z+4i=0 \Leftrightarrow z=-4i \Rightarrow \overline{z}=4i$.
Khi đó $\begin{cases}z^2=-16 \Rightarrow |z^2|=16\\|z-\overline{z}|=|-8i|=8\end{cases}$ suy ra $|z^2|=2|z-\overline{z}|$ (thỏa mãn yêu cầu bài toán).
Xét (2): $|z-4|=|z+4i|$.
Giả sử $z=a+bi$, với $a, b\in\mathbb{R}$.
Ta có (2) $\Leftrightarrow (a-4)^2+b^2=a^2+(b+4)^2 \Leftrightarrow b=-a$.
Hay $z=a-ai \Rightarrow z^2=-2a^2i \Rightarrow |z^2|=2a^2$ và $z-\overline{z}=-2ai \Rightarrow |z-\overline{z}|=2|a|$.
Khi đó $|z^2|=2|z-\overline{z}| \Leftrightarrow 2a^2=4|a| \Leftrightarrow \begin{bmatrix}a=0\\a=\pm 2\end{bmatrix} \Rightarrow \begin{bmatrix}z=0\\z=2-2i\\z=-2+2i\\z=-4i.\end{bmatrix}$
Vậy có 4 số phức $z=0, z=2-2i, z=-2+2i, z=-4i$ thỏa mãn yêu cầu bài toán.",,,
67,KT-01 (Trang 2 - Câu 3),Hàm số - Đạo hàm - Khảo sát,"**Câu 3:** Hỏi hàm số $y = 2x^4 + 1$ đồng biến trên khoảng nào?
A. $\left(-\infty; -\dfrac{1}{2}\right)$.
B. $(0; +\infty)$.
C. $\left(-\dfrac{1}{2}; +\infty\right)$.
D. $(-\infty; 0)$.",B. $(0;+\infty)$.,"Tập xác định $\mathscr{D} = \mathbb{R}$.

$y' = 8x^3$; $y' = 0 \Leftrightarrow x = 0$.

Bảng biến thiên

$$\begin{array}{c|ccccc} x & -\infty & & 0 & & +\infty \\ \hline y' & & - & 0 & + & \\ \hline y & +\infty & \searrow & & \nearrow & +\infty \\ & & & 1 & & \end{array}$$

- Dựa vào bảng biến thiên ta được hàm số đồng biến trên khoảng $(0;+\infty)$.",,,
68,KT-02 (Trang 8 - Câu 23),Tích phân - Nguyên hàm,"**Câu 23:** Tìm nguyên hàm của hàm số $f(x) = \sqrt{2x-1}$.
A. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{2}{3}(2x-1)\sqrt{2x-1} + C$.
B. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{1}{3}(2x-1)\sqrt{2x-1} + C$.
C. $\displaystyle\int f(x)\,\mathrm{d}x = -\dfrac{1}{3}\sqrt{2x-1} + C$.
D. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{1}{2}\sqrt{2x-1} + C$.","B. $\displaystyle\int f(x)\,\mathrm{d}x = \dfrac{1}{3}(2x-1)\sqrt{2x-1} + C$.","Ta có

$$\int f(x)\mathrm{d}x = \int \sqrt{2x-1}\mathrm{d}x = \frac{1}{2}\int (2x-1)^{\frac{1}{2}}\,\mathrm{d}(2x-1)$$

$$= \frac{1}{2}\cdot\frac{2}{3}(2x-1)^{\frac{3}{2}} + C$$

$$= \frac{1}{3}(2x-1)\sqrt{2x-1} + C.$$",,,
69,KT-03 (Trang 9 - Câu 26),Tích phân - Nguyên hàm,"**Câu 26:** Tính tích phân $\displaystyle\int_1^e x\ln x\,\mathrm{d}x$.
A. $I = \dfrac{1}{2}$.
B. $I = \dfrac{e^2-2}{2}$.
C. $I = \dfrac{e^2+1}{4}$.
D. $I = \dfrac{e^2-1}{4}$.",C. $I = \dfrac{e^2+1}{4}$.,"Đặt $\begin{cases} u = \ln x \\ \mathrm{d}v = x\,\mathrm{d}x \end{cases} \Rightarrow \begin{cases} \mathrm{d}u = \dfrac{1}{x}\mathrm{d}x \\ v = \dfrac{1}{2}x^2 \end{cases}$. Khi đó

$$I = \frac{1}{2}x^2\ln x\Big|_1^e - \int_1^e \frac{1}{2}x\,\mathrm{d}x = \frac{1}{2}x^2\ln x\Big|_1^e - \frac{1}{4}x^2\Big|_1^e = \frac{1}{2}e^2 - \left(\frac{1}{4}e^2 - \frac{1}{4}\right) = \frac{e^2+1}{4}.$$",,,
70,KT-04 (Trang 14 - Câu 43),Hình giải tích Oxyz,"**Câu 43:** Trong không gian với hệ tọa độ $Oxyz$, cho mặt phẳng $(P): 3x - z + 2 = 0$. Vectơ nào dưới đây là một vectơ pháp tuyến của $(P)$?
A. $\vec{n_4} = (-1;0;-1)$.
B. $\vec{n_1} = (3;-1;2)$.
C. $\vec{n_3} = (3;-1;0)$.
D. $\vec{n_2} = (3;0;-1)$.",D. $\vec{n_2} = (3;0;-1)$.,Ta có: $(P): 3x + 0y - z + 2 = 0$ nên $(3;0;-1)$ là tọa độ vectơ pháp tuyến của $(P)$.,,,
71,KT-05 (Trang 16 - Câu 1),Hàm số - Đạo hàm - Khảo sát,"**Câu 1:** Đường thẳng nào dưới đây là tiệm cận đứng của đồ thị hàm số $y = \dfrac{2x+1}{x+1}$?
A. $x = 1$.
B. $y = -1$.
C. $y = 2$.
D. $x = -1$.",D. $x = -1$.,Ta thấy $\displaystyle\lim_{x\to(-1)^-}\frac{2x+1}{x+1} = +\infty$ và $\displaystyle\lim_{x\to(-1)^+}\frac{2x+1}{x+1} = -\infty$. Nên đường thẳng $x = -1$ là tiệm cận đứng của đồ thị.,,,
72,KT-06 (Trang 22 - Câu 23),Hàm số - Đạo hàm - Khảo sát,"**Câu 23:** Cho hàm số $f(x)$ có đạo hàm trên đoạn $[1;2]$, $f(1) = 1$ và $f(2) = 2$. Tính $I = \displaystyle\int_1^2 f'(x)\,\mathrm{d}x$.
A. $I = 1$.
B. $I = -1$.
C. $I = 3$.
D. $I = \dfrac{7}{2}$.",A. $I = 1$.,Ta có $I = f(x)\Big|_1^2 = f(2) - f(1) = 2 - 1 = 1$.,,,
